label_id,dossier,pyc,pnx_file,lan_nhan_xet,item_no,trang,muc,noi_dung_nhan_xet,phan_hoi_don_vi,rule_ref_goi_y,do_tin_cay,can_cu_goi_y,ghi_chu_goi_y,da_kiem,goi_y_dung,rule_ref,checklist_ref,vong,ngoai_pham_vi,ghi_chu
PNX_PL07_Sizing_Mybox_update_20251803|R1-03-02,cap moi Mybox 38327,PYC-38327,PNX_PL07_Sizing_Mybox_update_20251803.docx,1,3,1,,Bổ sung sở cứ thông tin đầu vào (trang 1): Gần 1 triệu file trong 1 ngày,Thông tin đầu vào: Các sở cứ lấy từ email của kinh doanh confirm,PRC-01; EVD-03,thấp,Sở cứ cho số liệu (chung),,x,Đ,PRC-01,CL-2.5,2,,
PNX_giam sat cuoc goi CSKH_bosung2022v3|R3-03-07,cap moi GSCG CSKH_bosung2022 23096,PYC-23096,PNX_giam sat cuoc goi CSKH_bosung2022v3.docx,3,3,6,,Bổ sung sở cứ: Năm 2023 phát sinh thêm mỗi ngày 150000 cuộc gọi/ngày,,PRC-01; EVD-03,thấp,Sở cứ cho số liệu (chung),,x,Đ,PRC-01,CL-2.5,2,,
PNX_Data Security VTTv2|R1-03-04,cap moi Data Security VTT 18476,PYC-18476,PNX_Data Security VTTv2.docx,1,3,2,,Bổ sung sở cứ cho: “Thông tin tài nguyên khởi tạo”,"Đã bổ sung sở cứ cho các số liệu thông tin đầu vào (mục II. THÔNG TIN ĐẦU VÀO). Đã bổ sung sở cứ cho thông tin cpu, ram, link tham chiếu cpu: https://www.spec.org/cgi-bin/osgresults?conf=cint2006 Đã bổ sung sở cứ cho: “Thông tin tài nguyên khởi tạo”: (mục II. THÔNG TIN ĐẦU VÀO) Đã bổ sung sở cứ cho kết quả đo cpu (trang 5)",PRC-01; EVD-03,thấp,Sở cứ cho số liệu (chung),,x,Đ,PRC-01,CL-2.5,2,,
PNX_giam sat cuoc goi CSKH_bosung2022v3|R3-03-08,cap moi GSCG CSKH_bosung2022 23096,PYC-23096,PNX_giam sat cuoc goi CSKH_bosung2022v3.docx,3,3,6,,Tính toán lại số liệu,,EVD-10,thấp,Nhất quán / tính lại số liệu (chung),,x,S,,,,,"""Tính toán lại số liệu"" quá chung, không neo được vào quy tắc nào. EVD-10 (tổng toàn hệ = Σ phân hệ) là việc khác. Cần ngữ cảnh mục để gán."
PNX_giam sat cuoc goi CSKH_bosung2022v4|R2-01-02,cap moi GSCG CSKH_bosung2022 23096,PYC-23096,PNX_giam sat cuoc goi CSKH_bosung2022v4.docx,2,1,2,,Bổ sung sở cứ cho tất cả các cấu hình đề xuất,Đã note thêm trong cột ghi chú bảng trang 2,PRC-01; EVD-03,thấp,Sở cứ cho số liệu (chung),,x,Đ,PRC-01,CL-2.5,2,,
PNX_He thong CMP_Phan hoi NX lan 2|R1-05-02,cap moi CMP 40562,PYC-35119,PNX_He thong CMP_Phan hoi NX lan 2.docx,1,5,,,Module CMS ở bảng hiện trạng hệ thống mục trên có 2 Module CMS1 và CMS2 nhưng ở đây chỉ tính 1 module => giải thích,"Bổ sung sở cứ tải hệ thống bằng các hình ảnh thực tế đo đạc và cập nhật phương pháp định cỡ, Cập nhật công thức tính tổng tài nguyên hiện có của module nhân với tỉ lệ TPS, Kpi Ksaiso rồi chia hệ số N phù hợp",EVD-10,thấp,Nhất quán / tính lại số liệu (chung),,x,Đ,EVD-10,CL-2.9; CL-3.x.20,2,,Khớp rất đúng: số module giữa hai bảng mâu thuẫn.
PNX_PL07_Sizing_Mybox_update_20251803|R1-11-02,cap moi Mybox 38327,PYC-38327,PNX_PL07_Sizing_Mybox_update_20251803.docx,1,11,8,,Trang 8 bổ sung sở cứ cho: Mybox hiện tại có 27776 user upload 50000 files/ 1 ngày(lấy theo tỷ lệ),Đã bổ sung sở cứ,PRC-01; EVD-03,thấp,Sở cứ cho số liệu (chung),,x,Đ,PRC-01,CL-2.5,2,,
PNX_StrongSwan|R1-01-03,cap moi StrongSwan 40325,PYC-40325,PNX_StrongSwan.docx,1,1,,,Tính toán lại số liệu,,EVD-10,thấp,Nhất quán / tính lại số liệu (chung),,x,S,,,,,Như dòng 54.
PNX_giam sat cuoc goi CSKH_bosung2022v4|R2-02-02,cap moi GSCG CSKH_bosung2022 23096,PYC-23096,PNX_giam sat cuoc goi CSKH_bosung2022v4.docx,2,2,5,,Bổ sung sở cứ cho: Cấu hình server thực tế đang chạy 300.000 cuộc gọi/ngày,Bổ sung thêm ảnh chụp cấu hình server Đầu vào năm 2022 theo nhu cầu là 450000 => Số lượng cuộc gọi tăng lên = 450K-300K = 150K,PRC-01; EVD-03,thấp,Sở cứ cho số liệu (chung),,x,Thiếu,PRC-01; EVD-04,CL-2.5,2,,Còn là yêu cầu nêu đủ cấu hình hệ tham chiếu — EVD-04.
PNX_callbot inbound CSKH_bosung videobot XMKH_v1.2v2|R1-05-02,cap moi callbot inbound CSKH_bosung videobot XMKH 35485,PYC-29293,PNX_callbot inbound CSKH_bosung videobot XMKH_v1.2v2.docx,1,5,5,,"Bổ sung sở cứ cho cấu hình thực hiện test tải, tải khi test","Đã bổ sung thông tin server chạy thử, tải server, lập lại bảng tính toán CCU, tính toán lại số liệu theo bảng giá trị mục III.2.2.2",PRC-01; EVD-03,thấp,Sở cứ cho số liệu (chung),,x,Thiếu,PRC-02; EVD-04,CL-2.5,2,,Sở cứ cho cấu hình và tải khi TEST → PRC-02 (biên bản kiểm thử) đúng hơn PRC-01.
PNX_SSO 2.0_v3|R1-01-03,cap moi SSO 2.0 46385,PYC-46385,PNX_SSO 2.0_v3.docx,1,1,,,Tính toán lại số liệu,Đã bổ sung,EVD-10,thấp,Nhất quán / tính lại số liệu (chung),,x,S,,,,,Như dòng 54.
PNX_FMRA_Sizing_server_Backup_2024_Final_New|R1-01-03,cap moi FMRA_Sizing_server_Backup_2024 58352,PYC-58352,PNX_FMRA_Sizing_server_Backup_2024_Final_New.docx,1,1,,,Tính toán lại số liệu,,EVD-10,thấp,Nhất quán / tính lại số liệu (chung),,x,S,,,,,Như dòng 54.
PNX_vTracking 2.0_v2|R1-01-04,cap bo sung VTracking 2.0.1 14716,PYC-14716,PNX_vTracking 2.0_v2.docx,1,1,,,Tính toán lại số liệu,Đã bổ sung theo yêu cầu,EVD-10,thấp,Nhất quán / tính lại số liệu (chung),,x,S,,,,,Như dòng 54.
PNX_callbot inbound CSKH_bosung videobot XMKH_v1.2v2|R1-04-03,cap moi callbot inbound CSKH_bosung videobot XMKH 35485,PYC-29293,PNX_callbot inbound CSKH_bosung videobot XMKH_v1.2v2.docx,1,4,4,,Bổ sung sở cứ cho tải chạy 15CCU,"Đã bổ sung thông tin server chạy thử, tải server, lập lại bảng tính toán CCU, tính toán lại số liệu theo bảng giá trị mục III.2.2.1",PRC-01; EVD-03,thấp,Sở cứ cho số liệu (chung),,x,Thiếu,PRC-01; EVD-05,CL-2.5; CL-3.x.7,2,,Tải 15CCU là thông số đầu vào định cỡ.
PNX_giam sat cuoc goi CSKH_bosung2022v4|R1-07-01,cap moi GSCG CSKH_bosung2022 23096,PYC-23096,PNX_giam sat cuoc goi CSKH_bosung2022v4.docx,1,7,,,"Module Speech processing không rõ giá trị hệ thống hiện tại để định cỡ, cần sở cứ",Có giá trị của Callbot nhắc nợ cước,PRC-01; EVD-03,thấp,Sở cứ cho số liệu (chung),,x,Thiếu,PRC-01; EVD-04; MTH-04,CL-2.5; CL-2.1; CL-2.4,2,,Không rõ hiện trạng để định cỡ → MTH-04 (định cỡ theo hiện trạng). Module Speech processing cũng chạm khoảng trống GPU/tải AI.
PNX_Data Security VTTv2|R2-02-05,cap moi Data Security VTT 18476,PYC-18476,PNX_Data Security VTTv2.docx,2,2,,,"Cấu hình hệ thống tham chiếu server hiện tại: Bổ sung thông tin CPU, link tham chiếu, quy đổi ra cint 2017",,CPU-01; CPU-02; CPU-10; CPU-05; CPU-06; CPU-09; MTH-01; MTH-03; MTH-04; EVD-04,vừa,Cint / SPEC CPU + CPU sử dụng + Cơ sở định cỡ / hệ tham chiếu,,x,Thừa,EVD-04; CPU-02; CPU-01,CL-2.5; CL-3.x.13,2,,"Máy gán 10 mã. Cốt lõi: cấu hình hệ tham chiếu phải đủ, và quy đổi ra Cint 2017."
PNX_Mykid 2.0 v2|R1-06-02,cap moi Mykid 2.0 30959,PYC-30959,PNX_Mykid 2.0 v2.docx,1,6,16,,"KPI RAM là 90%, đang tính là 75%",,RAM-01; RAM-02; KPI-02; KPI-03; KPI-04; KPI-14,vừa,RAM + Ngưỡng KPI,,x,Thừa,KPI-03; KPI-14,CL-3.x.14; CL-3.x.13; CL-3.x.17,2,,"Đúng chủ đề nhưng thừa RAM-01/02, KPI-02, KPI-04."
PNX_giam sat cuoc goi CSKH_bosung2022v3|R3-03-09,cap moi GSCG CSKH_bosung2022 23096,PYC-23096,PNX_giam sat cuoc goi CSKH_bosung2022v3.docx,3,3,6,,"Bổ sung sở cứ: 3,8 TB HDD backup dữ liệu",,STO-14; STO-15; STO-03; KPI-07; STO-04; KPI-06; EVD-01; BAK-09; BAK-02; BAK-01; PRC-01; EVD-03,vừa,SSD / loại ổ + Dung lượng lưu trữ + Sao lưu / backup,,x,Thừa,BAK-02; PRC-01,CL-3.2.19; CL-2.5,2,,Máy gán 12 mã do khớp cả SSD/dung lượng/backup. Nội dung là sở cứ cho dung lượng backup.
PNX_giam sat cuoc goi CSKH_bosung2022v4|R1-09-02,cap moi GSCG CSKH_bosung2022 23096,PYC-23096,PNX_giam sat cuoc goi CSKH_bosung2022v4.docx,1,9,,,Bổ  sung sở cứ cho Cấu hình server thực tế đang chạy 300.000 cuộc gọi/ngày: CPU  >= 196 Cint 2017,"Cấu hình server đề xuất trong sizing khác với nhận xét của P. HT Đã có sở cứ về RAM, CPU (mục 1.1)",CPU-01; CPU-02; CPU-10; CPU-05; CPU-06; CPU-09; EVD-16; EVD-22; PRC-01; EVD-03,vừa,Cint / SPEC CPU + CPU sử dụng + Bảng tổng hợp đề xuất,,x,Thừa,EVD-04; PRC-01; CPU-01,CL-2.5; CL-3.x.13,2,,"Là sở cứ cho cấu hình hệ tham chiếu, không phải bảng tổng hợp đề xuất."
PNX_hethongVtag_v4|R1-20-02,cap moi hethong Vtag,,PNX_hethongVtag_v4.docx,1,7,,,Định cỡ máy chủ Redis: - Chưa có hình ảnh thể hiện tải CPU,Hình ảnh bảng htop thể hiện thông tin sử dụng về CPU và RAM.,CPU-05; CPU-06; CPU-09; ARC-19; ARC-20; ARC-21; ARC-22; STO-19; STO-20; RAM-03,vừa,CPU sử dụng + Redis + KHOẢNG TRỐNG · Chất lượng ảnh sở cứ,Rất nhiều nhận xét là về ảnh sở cứ mờ/không khớp số liệu. Không quy tắc nào ràng buộc chất lượng ảnh minh chứng. Khoảng trống MỚI — liên quan trực tiếp C2/vision và NT4.,x,Thừa,PRC-01; CPU-05,CL-2.5; CL-3.x.13,2,,Thiếu ảnh sở cứ tải CPU. Các mã Redis không liên quan tới việc thiếu ảnh.
PNX_C360_Public|R1-03-02,cap moi C360_Public 9367,PYC-9367,PNX_C360_Public.docx,1,3,6,III,Tính toán tài nguyên RAM. CPU (trang 6),,CPU-05; CPU-06; CPU-09; RAM-01; RAM-02,vừa,CPU sử dụng + RAM,,x,Thừa,CPU-05; RAM-02,CL-3.x.13; CL-3.x.14,2,,
PNX_hethongVtag_v4|R2-02-03,cap moi hethong Vtag,,PNX_hethongVtag_v4.docx,2,2,,,"Định cỡ máy chủ Postgres: Dung lượng lưu trữ áp dụng KPI 80%, Ksai số=1.1",- Đã bổ sung dự phòng N+1 theo đề xuất - Bổ sung tính toán dung lượng lưu trữ,KPI-02; KPI-03; KPI-04; KPI-14; STO-04; KPI-06; EVD-01; EVD-10,vừa,Ngưỡng KPI + Dung lượng lưu trữ,,x,Thừa,KPI-04; STO-04,CL-3.x.17; CL-3.x.16,2,,KPI 80% cho ổ cứng và hệ số sai số trong công thức dung lượng thô.
PNX_giam sat cuoc goi CSKH_bosung2022v3|R3-02-02,cap moi GSCG CSKH_bosung2022 23096,PYC-23096,PNX_giam sat cuoc goi CSKH_bosung2022v3.docx,3,2,5,,"Ảnh ram sử dụng có 50209, dung lượng: sử dụng chưa đến 500GB, chưa có thông tin cpu",,CPU-05; CPU-06; CPU-09; RAM-01; RAM-02; STO-04; KPI-06; EVD-01,vừa,CPU sử dụng + RAM + Dung lượng lưu trữ + KHOẢNG TRỐNG · Chất lượng ảnh sở cứ,Rất nhiều nhận xét là về ảnh sở cứ mờ/không khớp số liệu. Không quy tắc nào ràng buộc chất lượng ảnh minh chứng. Khoảng trống MỚI — liên quan trực tiếp C2/vision và NT4.,x,Thừa,PRC-01; RAM-02; CPU-05,CL-2.5; CL-3.x.14; CL-3.x.13,2,,Chạm khoảng trống chất lượng ảnh sở cứ.
PNX_CAMPAIGN_MANAGEMENT_v3|R1-03-02,cap bo sung campaign 2.0 8964,PYC-8964,PNX_CAMPAIGN_MANAGEMENT_v3.docx,1,3,7,IV.1.1,Trang 7: Bổ sung sở cứ cần 256GB RAM,Đã sửa lại nội dung sizing và bổ sung sở cứ,RAM-01; RAM-02; STO-04; KPI-06; EVD-01; PRC-01; EVD-03,vừa,RAM + Dung lượng lưu trữ,,x,Thừa,RAM-02; PRC-01,CL-3.x.14; CL-2.5,2,,"Là RAM, không phải dung lượng lưu trữ — bỏ STO-04/KPI-06/EVD-01."
PNX_hethongVtag_v4|R1-15-02,cap moi hethong Vtag,,PNX_hethongVtag_v4.docx,1,6,,,Định cỡ máy chủ Mongo và Kafka: - Tải CPU đưa vào tính toán chưa đúng theo hình đưa ra,"Trong hình ảnh tý lệ tiêu thụ CPU, thông số Busy System = 20,08%  ~ 21% (trong công thức tính toán).",CPU-05; CPU-06; CPU-09; ARC-23; ARC-24; ARC-25; CPU-11; STO-21; STO-22,vừa,CPU sử dụng + Kafka,,x,Thừa,CPU-05; PRC-01,CL-3.x.13; CL-2.5,2,,Tải CPU đưa vào tính không khớp ảnh sở cứ. Các mã Kafka không phải việc ở đây.
PNX_MySign_v2|R1-03-01,cap moi MySign 10371,PYC-8059,PNX_MySign_v2.docx,1,3,,III,"Mục III. 1: Phần tính toán nhu cầu tài nguyên  tổng tài nguyên cint, ram tính toán lại, số liệu làm tròn nên đang bị thấp đi (cint 96, ram 47)",Đã sửa,CPU-01; CPU-02; CPU-10; RAM-01; RAM-02; EVD-10,vừa,Cint / SPEC CPU + RAM + KHOẢNG TRỐNG · Làm tròn / độ chính xác,"globals.lam_tron mới là quy ước làm tròn kết quả cuối, chưa thành quy tắc kiểm. Khoảng trống đã biết.",x,Thừa,EVD-10,CL-2.9; CL-3.x.20,2,,"⚠️ Ca thật của KHOẢNG TRỐNG ""làm tròn / độ chính xác số trung gian"": làm tròn khiến tài nguyên đề xuất bị THẤP đi (cint 96, ram 47). Đáng cân nhắc thành quy tắc."
PNX_MNP|R1-08-01,cap moi MNP 32034,PYC-32034,PNX_MNP.docx,1,8,55,,"Bổ sung sở cứ ram 236, 500tps, cint 990 (trang 55)",,CPU-01; CPU-02; CPU-10; RAM-01; RAM-02; PRC-01; EVD-03,vừa,Cint / SPEC CPU + RAM,,x,Đ,PRC-01; RAM-02; CPU-01; EVD-05,CL-2.5; CL-3.x.14; CL-3.x.13; CL-3.x.7,2,,
PNX_Sizing_APIGW-Meta_2024v4|R2-02-02,cap moi APIGW-Meta_2024 18927,PYC-18927,PNX_Sizing_APIGW-Meta_2024v4.docx,2,2,9,,Cpu này là cint hay vcpu,,ARC-05; CPU-03; CPU-04; ALC-02; CPU-01; CPU-02; CPU-10; CPU-05; CPU-06; CPU-09,vừa,Ảo hóa / overcommit / vCPU + Cint / SPEC CPU + CPU sử dụng,,x,Thừa,CPU-01; CPU-09,CL-3.x.13,2,,Chất vấn đơn vị: Cint hay vCPU → CPU-09 (quy đổi SPEC ra vCPU).
PNX_giam sat cuoc goi CSKH_bosung2022v2|R2-02-05,cap moi GSCG CSKH_bosung2022 23096,PYC-23096,PNX_giam sat cuoc goi CSKH_bosung2022v2.docx,2,2,5,,Bổ sung sở cứ cho cấu hình: RAM >= 96 GB,,RAM-01; RAM-02; STO-04; KPI-06; EVD-01; EVD-16; EVD-22; PRC-01; EVD-03,vừa,RAM + Dung lượng lưu trữ + Bảng tổng hợp đề xuất,,x,Thừa,PRC-01; RAM-02,CL-2.5; CL-3.x.14,2,,"Nội dung là sở cứ cho cấu hình RAM, không phải quy ước "">="" ở bảng tổng hợp."
PNX_hethongVtag_v4|R2-04-02,cap moi hethong Vtag,,PNX_hethongVtag_v4.docx,2,4,,,Định cỡ máy chủ Redis: Bổ sung dự phòng N+1 máy chủ,- Đã bổ sung dự phòng N+1 theo đề xuất,ARC-03; ARC-09; ARC-02; ARC-19; ARC-20; ARC-21; ARC-22; STO-19; STO-20; RAM-03,vừa,Dự phòng N+1 / N+M + Redis,,x,Thừa,ARC-03; ARC-09,CL-3.x.6; CL-3.2.4,2,,Dự phòng N+1 mức máy chủ. Các mã Redis về số master/slave là việc khác.
